model,features,label_set,attribute,threshold,n_selected,DPD,DPD_ci_lo,DPD_ci_hi,DIR,DIR_ci_lo,DIR_ci_hi,EEOC_pass,chi2_p,EOD_labels,share_delta,median_split_DIR,median_split_DPD
M4-Ethnicity-Biased (CV7),cv7,eth-bias,gender,0.3,1440,0.006751604678264689,0.0005838104179112693,0.03375934222882993,0.9777488956000845,0.8935463250952386,0.9980559089295639,True,0.632072448031157,0.029591106464325723,-0.004166666666666652,0.9799592135296608,0.0095581745036277
M4-Ethnicity-Biased (CV7),cv7,eth-bias,gender,0.5,2400,0.013753268789057693,0.0008334446476019275,0.04293243132796857,0.9728723087240874,0.9177343295421835,0.9983345143820773,True,0.35555388601199134,0.0016875046875129973,-0.0016666666666667052,0.9799592135296608,0.0095581745036277
M4-Ethnicity-Biased (CV7),cv7,eth-bias,ethnicity,0.02,96,0.012701256051009746,0.006546861456115305,0.02327097012062767,0.4805511948369091,0.23599285080224922,0.7062482905449327,False,0.014418676551328061,0.5555555555555556,0.20833333333333334,0.771119071185056,0.1242701469302454
M4-Ethnicity-Biased (CV7),cv7,eth-bias,ethnicity,0.05,240,0.017465293327362297,0.007113001201033888,0.0336377042067965,0.6904761904761905,0.48381353622949674,0.8672512032964438,False,0.04283491889197813,0.5348837209302326,0.11249999999999999,0.771119071185056,0.1242701469302454
M4-Ethnicity-Biased (CV7),cv7,eth-bias,ethnicity,0.1,480,0.02813639562408035,0.012839693588703323,0.05121939877168419,0.7520577291690157,0.5864370404731596,0.8791019111907681,False,0.02852977455956238,0.5685714285714285,0.08958333333333335,0.771119071185056,0.1242701469302454
M4-Ethnicity-Biased (CV7),cv7,eth-bias,ethnicity,0.2,960,0.07127716290277866,0.039232480267194766,0.09813624348700649,0.7016087274804935,0.6124303594382917,0.8234682852069487,False,2.217478479919701e-06,0.43839506172839504,0.11458333333333331,0.771119071185056,0.1242701469302454
M4-Ethnicity-Biased (CV7),cv7,eth-bias,ethnicity,0.3,1440,0.08263919988057922,0.051381130806642084,0.1139715043550452,0.7616464307241884,0.685381861224786,0.8442533358357102,False,1.169571805244361e-06,0.41485885692859814,0.08750000000000002,0.771119071185056,0.1242701469302454
M4-Ethnicity-Biased (CV7),cv7,eth-bias,ethnicity,0.5,2400,0.13333759836222892,0.09615562988418386,0.16417805088477075,0.7673156790068325,0.7218446656304823,0.8271346252898787,False,2.0189266106705255e-13,0.22140836012861742,0.08458333333333334,0.771119071185056,0.1242701469302454
M5-Robust (CV9),cv9,blind,gender,0.02,96,0.003950939033947477,0.00018338064325641132,0.01019017456280282,0.8204602127458098,0.5940298507462686,0.9908721563564673,True,0.3819128810970789,0.06556665219279201,0.08333333333333331,0.9922839742355426,0.0037646100262371
M5-Robust (CV9),cv9,blind,gender,0.05,240,0.0026256240415473697,0.00020837710705157077,0.014014745309179672,0.9488108336859925,0.7548386998514922,0.9958410032861744,True,0.7255562438946808,0.0191786533249948,0.041666666666666685,0.9922839742355426,0.0037646100262371
M5-Robust (CV9),cv9,blind,gender,0.1,480,0.003917597776277024,0.00041718706485851484,0.02058766837607422,0.961588035081566,0.8133261909864506,0.9958371194875018,True,0.6860706358916413,0.024098895756649807,0.004166666666666652,0.9922839742355426,0.0037646100262371
M5-Robust (CV9),cv9,blind,gender,0.2,960,0.007835195552554047,0.0005000944080149075,0.03202539460039046,0.961588035081566,0.8520253372433918,0.9975026375139177,True,0.5206274448121926,0.0005989817310571022,0.004166666666666652,0.9922839742355426,0.0037646100262371
M5-Robust (CV9),cv9,blind,gender,0.3,1440,0.001750416027698265,0.0005000674136348832,0.02849708940000138,0.9941825132581561,0.9095255059205855,0.9983344812687911,True,0.9197072375588815,0.005626562934148316,-0.012499999999999956,0.9922839742355426,0.0037646100262371
M5-Robust (CV9),cv9,blind,gender,0.5,2400,0.004584422929685916,0.0004173179005954791,0.03545983459168858,0.9908723540198983,0.9314511572783639,0.999165698615026,True,0.772803733569947,0.002884487128184565,0.020000000000000018,0.9922839742355426,0.0037646100262371
M5-Robust (CV9),cv9,blind,ethnicity,0.02,96,0.0072205891745294425,0.0020108613688896455,0.017456783799231133,0.6901001186715472,0.3871743524231581,0.9044723368735239,False,0.33468102133809663,0.11428571428571432,0.11458333333333337,0.9541248033593628,0.0229807411384758
M5-Robust (CV9),cv9,blind,ethnicity,0.05,240,0.007132965391331708,0.0024046146857430125,0.022451919412191837,0.8651529876019672,0.6314733447667659,0.9528227459016393,True,0.6193231939924047,0.0553086419753086,0.04166666666666663,0.9541248033593628,0.0229807411384758
M5-Robust (CV9),cv9,blind,ethnicity,0.1,480,0.012127397487425293,0.0031326928016065713,0.03378995612186436,0.8855432012281459,0.7055963602144794,0.9692697779334137,True,0.5217056293577822,0.0011867736127025852,0.041666666666666685,0.9541248033593628,0.0229807411384758
M5-Robust (CV9),cv9,blind,ethnicity,0.2,960,0.02550042244735201,0.006888105848715235,0.05619887810651066,0.8814193183570658,0.7578806692842232,0.9661827748067486,True,0.16920817929084914,0.028135720860179125,0.04375000000000001,0.9541248033593628,0.0229807411384758
M5-Robust (CV9),cv9,blind,ethnicity,0.3,1440,0.018783114739859275,0.005010902625573886,0.05303167693426242,0.9394766302826757,0.8366178113726624,0.9833993920060087,True,0.5016885690160409,0.018802327231446037,0.0222222222222222,0.9541248033593628,0.0229807411384758
M5-Robust (CV9),cv9,blind,ethnicity,0.5,2400,0.0304655606705464,0.007486862358935667,0.06415683324124656,0.9410999160369437,0.8806064447902953,0.9851401273369316,True,0.21098911263145215,0.0030915293350389783,0.021666666666666667,0.9541248033593628,0.0229807411384758
M6-Robust (CV9+Face),cv9+face,blind,gender,0.02,96,0.0031174075921864067,0.00018292628936321717,0.010108706376319663,0.8555601148953632,0.598383404633098,0.9908954844409014,True,0.504033925152446,0.06556665219279201,0.0625,0.9915836765999556,0.0041235495033454
M6-Robust (CV9+Face),cv9+face,blind,gender,0.05,240,0.001792092599786299,0.00020853571464857934,0.014334035115195317,0.964779599470329,0.7487473488686355,0.9958377069793297,True,0.8269820521383997,0.011048572024181746,0.03333333333333338,0.9915836765999556,0.0041235495033454
M6-Robust (CV9+Face),cv9+face,blind,gender,0.1,480,0.003917597776277024,0.00033356914841562135,0.0224204332630623,0.961588035081566,0.7982245594259099,0.9966700035999961,True,0.6860706358916413,0.019897215084380915,0.004166666666666652,0.9915836765999556,0.0041235495033454
M6-Robust (CV9+Face),cv9+face,blind,gender,0.2,960,0.012836384203120499,0.0008336248669668069,0.03484526111334344,0.9378434920656276,0.8397990771490549,0.9958406987626078,True,0.2821765793451828,0.019362735523523078,0.016666666666666663,0.9915836765999556,0.0041235495033454
M6-Robust (CV9+Face),cv9+face,blind,gender,0.3,1440,0.0025839474694593356,0.0004173118407396939,0.030339731456123984,0.9914243428787466,0.9037300272208101,0.9986099639886449,True,0.8698853859259789,0.006992683152727608,-0.011111111111111072,0.9915836765999556,0.0041235495033454
M6-Robust (CV9+Face),cv9+face,blind,gender,0.5,2400,0.009585611580252285,0.0004168128840569926,0.03501336567993039,0.981008019982866,0.9323211921782969,0.9991667277443609,True,0.5253235589190002,0.0013338668800854103,0.024999999999999967,0.9915836765999556,0.0041235495033454
M6-Robust (CV9+Face),cv9+face,blind,ethnicity,0.02,96,0.007850312096443799,0.002191841563586805,0.018236120474442303,0.6719395892328223,0.3654068696233652,0.8975896039460753,False,0.28370974118262626,0.11428571428571432,0.125,0.9580357142857144,0.0210479175996416
M6-Robust (CV9+Face),cv9+face,blind,ethnicity,0.05,240,0.007132965391331708,0.0020598109159840933,0.02266817400963445,0.8651529876019672,0.6290722698197101,0.9594711335227497,True,0.6193231939924047,0.0553086419753086,0.04166666666666663,0.9580357142857144,0.0210479175996416
M6-Robust (CV9+Face),cv9+face,blind,ethnicity,0.1,480,0.008984310226384407,0.002327723410387989,0.03227603035058485,0.9141917675983047,0.726068220470014,0.9769100315867394,True,0.6981110522067191,0.013995743984285491,0.03125,0.9580357142857144,0.0210479175996416
M6-Robust (CV9+Face),cv9+face,blind,ethnicity,0.2,960,0.02487069952543766,0.006168012025970542,0.05350749495443745,0.8843476217403118,0.7690028690816414,0.9694936329950077,True,0.17485563921766542,0.031514099238557525,0.04270833333333335,0.9580357142857144,0.0210479175996416
M6-Robust (CV9+Face),cv9+face,blind,ethnicity,0.3,1440,0.01752919624456145,0.004565351312856482,0.05074153104976199,0.9432878945028894,0.844428404823118,0.984874459791494,True,0.5571860788971004,0.014589541648928561,0.020833333333333315,0.9580357142857144,0.0210479175996416
M6-Robust (CV9+Face),cv9+face,blind,ethnicity,0.5,2400,0.017895975300648237,0.006065660148239532,0.059978871009807526,0.9650195090630711,0.8876407809228913,0.9879224815902049,True,0.5249453026047348,0.010651039707025856,0.013333333333333364,0.9580357142857144,0.0210479175996416
